Wavelength,1,2,3,4
nm,Counts,Counts,Counts,Counts
282.721,7032,7133,6826,6732
282.75,7013,6986,6797,6930
282.78,7105,6966,9046,6686
282.81,6983,7175,6842,6808
282.84,7078,7094,6946,6997
282.869,7364,7113,6871,6676
282.899,7128,7057,6833,6725
282.929,7162,7147,6881,6927
282.958,7089,7051,7023,6808
282.988,7127,7062,6886,6861
283.018,7155,6972,6817,6824
283.047,7116,7080,6777,6850
283.077,7104,6925,7008,6810
283.107,7194,7206,6860,6922
283.136,7083,7008,6893,6895
283.166,6972,6948,6903,6699
283.196,7122,7146,7150,6923
283.225,7193,7073,7008,6768
283.255,7180,7642,6864,6963
283.285,7139,9767,7040,6927
283.315,7172,8435,7032,6790
283.344,7262,7140,6984,6820
283.374,7158,7136,7017,6957
283.403,7304,7222,6849,6953
283.433,7196,7125,7023,7023
283.463,7230,7001,6953,6894
283.492,7152,7063,6956,6868
283.522,7233,6981,7122,6881
283.552,7132,7037,7071,6811
283.581,7157,7049,7010,6772
283.611,7222,7074,7061,6780
283.641,7209,7111,7160,6841
283.67,7207,7021,7096,6806
283.7,7158,7263,6952,6928
283.73,7151,7133,6942,6896
283.759,7314,7133,7054,6900
283.789,7101,7203,7050,6814
283.819,7101,7169,6921,6815
283.848,7267,7160,7021,6908
283.878,7231,7173,6968,6945
283.907,7302,7101,6962,6848
283.937,7168,7137,7015,6926
283.967,7116,7193,7009,6837
283.996,7280,7032,7055,6969
284.026,7210,7259,6932,6932
284.056,7314,7007,6978,6848
284.085,7220,7251,7062,6824
284.115,6969,7203,6997,6895
284.144,7070,7116,7018,6824
284.174,7327,7171,7092,7069
284.204,7122,7290,7016,6869
284.233,7249,7260,7166,6938
284.263,7356,7123,7108,6922
284.292,7314,7231,7060,6914
284.322,7329,7162,7116,6969
284.352,7104,7197,7024,7090
284.381,7170,7190,6966,6819
284.411,7303,6990,6986,6838
284.44,7118,7382,7035,7033
284.47,7408,7100,7120,6755
284.499,7368,7147,7097,7022
284.529,7184,7270,6899,6876
284.559,7390,7056,7056,6969
284.588,7319,7171,6887,6955
284.618,7219,7182,6942,6935
284.647,7222,7090,7191,6885
284.677,7281,7122,6913,6974
284.707,7183,7112,7023,6912
284.736,7199,7110,6992,6990
284.766,7311,7338,7139,6853
284.795,7262,7290,7142,6920
284.825,7188,7135,6971,6974
284.854,7396,7124,7069,7004
284.884,7070,7150,7051,6965
284.913,7172,6988,6970,6727
284.943,7324,6992,7056,6994
284.973,7238,7100,7125,6873
285.002,7130,7090,7190,6972
285.032,7228,7150,6974,6934
285.061,7299,7175,7110,6934
285.091,6975,7224,7256,6827
285.12,7273,7058,7064,7015
285.15,7302,7250,6985,6937
285.179,7229,7203,7011,7014
285.209,7355,7184,7048,7046
285.238,7369,7045,7003,7110
285.268,7378,7190,7098,7140
285.297,7292,7107,7186,6894
285.327,7214,7203,7038,6870
285.356,7167,7148,7150,7020
285.386,7462,7124,7176,6826
285.415,7334,7114,7080,7034
285.445,7275,7308,6954,6960
285.474,7451,7231,7079,6930
285.504,7266,7222,7119,6937
285.533,7327,7124,7114,6986
285.563,7276,7294,7172,7079
285.592,7272,7159,7069,7018
285.622,7248,7286,6923,7074
285.651,7362,7210,7054,6946
285.681,7227,7144,7164,7035
285.71,7137,7281,7174,7065
285.74,7453,7162,7135,7032
285.769,7342,7247,7159,7059
285.799,7238,7226,7157,7074
285.828,7311,7235,7115,6930
285.858,7280,7172,7096,7179
285.887,7302,7223,7051,6985
285.917,7354,7303,7274,7005
285.946,7375,7236,7114,6995
285.976,7215,7408,7285,6997
286.005,7278,7275,6987,6992
286.035,7228,7244,7016,7076
286.064,7289,7223,7092,7155
286.094,7453,7229,7196,6885
286.123,7425,7227,7237,7040
286.153,7443,7301,7150,7070
286.182,7171,7303,7237,7009
286.211,7419,7363,7125,7048
286.241,7201,7295,7324,6973
286.27,7448,7387,7021,7111
286.3,7283,7270,7131,7175
286.329,7184,7073,7254,7017
286.359,7297,7237,7076,7136
286.388,7297,7351,7082,7204
286.418,7351,7253,7206,7071
286.447,7329,7172,7077,6960
286.476,7312,7313,8706,7158
286.506,7595,7252,7226,7054
286.535,7477,7394,7126,7109
286.565,7458,7311,7302,7036
286.594,7347,7195,7306,7201
286.624,7455,7420,7220,7061
286.653,7381,7398,7118,7136
286.682,7566,7347,7193,7085
286.712,7317,7414,7148,7037
286.741,7497,7382,7311,7056
286.771,7349,7229,7209,7130
286.8,7298,7255,7200,7001
286.83,7450,7337,7159,7100
286.859,7326,7258,7187,7047
286.888,7468,7257,7323,7100
286.918,7333,7472,7070,7148
286.947,7375,7320,7310,7114
286.977,7334,7346,7208,7077
287.006,7328,7377,7260,7044
287.035,7332,7478,7302,7108
287.065,7462,7360,7213,7189
287.094,7317,7426,7279,7177
287.123,7525,7418,7213,7161
287.153,7437,7293,7237,7096
287.182,7382,7383,7149,7132
287.212,7440,7281,7274,7176
287.241,7513,7340,7318,7094
287.27,7503,7437,7322,7120
287.3,7553,7430,7218,7216
287.329,7496,7374,7232,7255
287.358,7615,7417,7091,7122
287.388,7634,7604,7225,7213
287.417,7471,7331,7318,7202
287.447,7528,7651,7321,7161
287.476,7518,7288,7382,7225
287.505,7375,7562,7316,7118
287.535,7286,7452,7347,7196
287.564,7443,7268,7227,7114
287.593,7539,7353,7375,7210
287.623,7631,7322,7282,7191
287.652,7522,7389,7230,7078
287.681,7446,7522,7249,7275
287.711,7267,7427,7520,7132
287.74,7449,7343,7370,7083
287.769,7549,7414,7151,7137
287.799,7382,7301,7415,7208
287.828,7588,7403,7418,7142
287.857,7406,7539,7218,7114
287.887,7503,7386,7206,7142
287.916,7582,7411,7296,7198
